#group,false,false,false,false,false,true,false,false
#datatype,string,long,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string
#default,_result,,,,,,,
,result,table,_field,_start,_stop,_time,_value,equipmentId
,,78,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T22:00:00Z,0.24252908755337185,122937
,,78,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T22:00:00Z,120,122937
,,79,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T23:00:00Z,0.2478444771423382,122937
,,79,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T23:00:00Z,120,122937
,,80,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T00:00:00Z,0.2500205657456758,122937
,,80,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T00:00:00Z,120,122937
,,81,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T01:00:00Z,0.24998977384308707,122937
,,81,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T01:00:00Z,120,122937
,,82,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T02:00:00Z,0.2506155096941927,122937
,,82,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T02:00:00Z,120,122937
,,83,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T03:00:00Z,0.25125469663448335,122937
,,83,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T03:00:00Z,120,122937
,,84,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T04:00:00Z,0.2517223078443993,122937
,,84,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T04:00:00Z,120,122937
,,85,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T05:00:00Z,0.24777508957892524,122937
,,85,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T05:00:00Z,120,122937
,,86,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T06:00:00Z,0.2513855879024972,122937
,,86,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T06:00:00Z,120,122937
,,87,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T07:00:00Z,0.24992862699688384,122937
,,87,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T07:00:00Z,120,122937
,,88,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T08:00:00Z,0.2515633096300125,122937
,,88,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T08:00:00Z,120,122937
,,89,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T09:00:00Z,0.2510490234989463,122937
,,89,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T09:00:00Z,120,122937
,,90,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T10:00:00Z,0.24991331157281238,122937
,,90,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T10:00:00Z,120,122937
,,91,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T11:00:00Z,0.24924110126329635,122937
,,91,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T11:00:00Z,120,122937
,,92,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T12:00:00Z,0.25202681489767714,122937
,,92,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T12:00:00Z,120,122937
,,93,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T13:00:00Z,0.25245222319694943,122937
,,93,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T13:00:00Z,120,122937
,,94,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T14:00:00Z,0.2523937801514604,122937
,,94,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T14:00:00Z,120,122937
,,95,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T15:00:00Z,0.25220108436382294,122937
,,95,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T15:00:00Z,120,122937
,,96,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T16:00:00Z,0.25073917167984855,122937
,,96,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T16:00:00Z,120,122937
,,97,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T17:00:00Z,0.25176811483381906,122937
,,97,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T17:00:00Z,120,122937
,,98,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T18:00:00Z,0.24873895719222175,122937
,,98,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T18:00:00Z,120,122937
,,99,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T19:00:00Z,0.24911765276517234,122937
,,99,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T19:00:00Z,120,122937
,,100,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T20:00:00Z,0.2497413260982683,122937
,,100,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T20:00:00Z,120,122937
,,101,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T21:00:00Z,0.24852664352443277,122937
,,101,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T21:00:00Z,120,122937
,,102,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T22:00:00Z,0.2435142162638389,122937
,,102,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T22:00:00Z,120,122937
,,103,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T23:00:00Z,0.25680890402593826,122937
,,103,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-07T23:00:00Z,120,122937
,,104,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T00:00:00Z,0.3106318063476732,122937
,,104,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T00:00:00Z,120,122937
,,105,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T01:00:00Z,0.42388343745554613,122937
,,105,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T01:00:00Z,120,122937
,,106,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T02:00:00Z,0.42436457309043885,122937
,,106,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T02:00:00Z,120,122937
,,107,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T03:00:00Z,0.4231257225513627,122937
,,107,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T03:00:00Z,120,122937
,,108,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T04:00:00Z,0.3153420595751063,122937
,,108,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T04:00:00Z,120,122937
,,109,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T05:00:00Z,0.6204277299781631,122937
,,109,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-08T05:00:00Z,120,122937
